time,epoch,batch,loss,cost
0min2sec,15,60,0.076,4.329
0min2sec,15,70,0.075,4.285
0min2sec,15,80,0.076,4.259
0min2sec,15,90,0.076,4.234
0min2sec,16,0,0.058,4.291
0min2sec,16,10,0.078,4.595
0min2sec,16,20,0.076,4.450
0min2sec,16,30,0.078,4.297
0min2sec,16,40,0.076,4.344
0min2sec,16,50,0.075,4.325
0min2sec,16,60,0.077,4.311
0min2sec,16,70,0.075,4.300
0min2sec,16,80,0.075,4.277
0min2sec,16,90,0.076,4.302
0min2sec,17,0,0.084,4.013
0min2sec,17,10,0.078,4.552
0min2sec,17,20,0.076,4.467
0min2sec,17,30,0.073,4.367
0min2sec,17,40,0.074,4.312
0min2sec,17,50,0.076,4.246
0min2sec,17,60,0.076,4.240
0min2sec,17,70,0.075,4.221
0min2sec,17,80,0.076,4.262
0min2sec,17,90,0.075,4.291
0min2sec,18,0,0.066,5.314
0min2sec,18,10,0.075,4.446
0min2sec,18,20,0.075,4.230
0min2sec,18,30,0.077,4.215
0min2sec,18,40,0.080,4.249
0min2sec,18,50,0.080,4.188
0min2sec,18,60,0.080,4.237
0min2sec,18,70,0.079,4.250
0min2sec,18,80,0.079,4.254
0min2sec,18,90,0.079,4.261
0min2sec,19,0,0.062,3.578
0min2sec,19,10,0.065,4.198
0min2sec,19,20,0.069,4.289
0min2sec,19,30,0.077,4.256
0min2sec,19,40,0.079,4.346
0min2sec,19,50,0.080,4.375
0min2sec,19,60,0.078,4.388
0min2sec,19,70,0.078,4.384
0min2sec,19,80,0.078,4.398
0min2sec,19,90,0.077,4.422
0min2sec,20,0,0.071,4.668
0min2sec,20,10,0.071,4.338
0min2sec,20,20,0.072,4.401
0min2sec,20,30,0.074,4.508
0min2sec,20,40,0.075,4.479
0min2sec,20,50,0.073,4.461
0min2sec,20,60,0.074,4.443
0min2sec,20,70,0.074,4.444
0min2sec,20,80,0.074,4.451
0min2sec,20,90,0.073,4.491
0min2sec,21,0,0.078,3.592
0min2sec,21,10,0.071,4.583
0min2sec,21,20,0.071,4.320
0min2sec,21,30,0.071,4.382
0min2sec,21,40,0.073,4.336
0min2sec,21,50,0.076,4.289
0min2sec,21,60,0.075,4.330
0min2sec,21,70,0.075,4.324
0min2sec,21,80,0.074,4.323
0min2sec,21,90,0.074,4.312
0min2sec,22,0,0.051,4.779
0min2sec,22,10,0.065,4.129
0min2sec,22,20,0.070,4.159
0min2sec,22,30,0.072,4.142
0min2sec,22,40,0.071,4.217
0min2sec,22,50,0.070,4.255
0min2sec,22,60,0.068,4.198
0min2sec,22,70,0.071,4.205
0min2sec,22,80,0.071,4.265
0min2sec,22,90,0.071,4.236
0min2sec,23,0,0.057,5.305
0min2sec,23,10,0.071,4.606
0min2sec,23,20,0.072,4.382
0min2sec,23,30,0.074,4.337
0min2sec,23,40,0.072,4.335
0min2sec,23,50,0.071,4.338
0min2sec,23,60,0.072,4.371
0min2sec,23,70,0.072,4.411
0min2sec,23,80,0.072,4.487
0min2sec,23,90,0.072,4.478
0min2sec,24,0,0.097,4.290
0min2sec,24,10,0.077,4.425
0min2sec,24,20,0.075,4.349
0min2sec,24,30,0.074,4.292
0min2sec,24,40,0.074,4.285
0min2sec,24,50,0.074,4.256
0min2sec,24,60,0.073,4.326
0min2sec,24,70,0.071,4.326
0min2sec,24,80,0.072,4.275
0min2sec,24,90,0.071,4.283
0min2sec,25,0,0.074,4.364
0min2sec,25,10,0.073,4.175
0min2sec,25,20,0.069,4.370
0min2sec,25,30,0.067,4.399
0min2sec,25,40,0.069,4.372
0min2sec,25,50,0.069,4.517
0min2sec,25,60,0.068,4.506
0min2sec,25,70,0.068,4.472
0min2sec,25,80,0.068,4.448
0min2sec,25,90,0.068,4.487
0min2sec,26,0,0.080,4.130
0min2sec,26,10,0.067,4.106
0min2sec,26,20,0.071,4.057
0min2sec,26,30,0.071,4.149
0min2sec,26,40,0.071,4.199
0min2sec,26,50,0.072,4.232
0min2sec,26,60,0.072,4.346
0min2sec,26,70,0.072,4.339
0min2sec,26,80,0.072,4.378
0min2sec,26,90,0.072,4.386
0min2sec,27,0,0.060,4.277
0min2sec,27,10,0.075,4.170
0min2sec,27,20,0.072,4.141
0min2sec,27,30,0.074,4.189
0min2sec,27,40,0.073,4.173
0min2sec,27,50,0.073,4.208
0min2sec,27,60,0.073,4.187
0min2sec,27,70,0.073,4.202
0min2sec,27,80,0.072,4.224
0min2sec,27,90,0.071,4.245
0min2sec,28,0,0.042,3.975
0min2sec,28,10,0.064,4.518
0min2sec,28,20,0.068,4.462
0min2sec,28,30,0.069,4.406
0min2sec,28,40,0.070,4.326
0min2sec,28,50,0.070,4.323
0min2sec,28,60,0.068,4.339
0min2sec,28,70,0.067,4.383
0min2sec,28,80,0.066,4.388
0min2sec,28,90,0.066,4.425
0min2sec,29,0,0.077,3.050
0min2sec,29,10,0.075,4.313
0min2sec,29,20,0.068,4.252
0min2sec,29,30,0.069,4.364
0min2sec,29,40,0.070,4.338
0min2sec,29,50,0.069,4.356
0min2sec,29,60,0.068,4.327
0min2sec,29,70,0.068,4.348
0min2sec,29,80,0.068,4.363
0min2sec,29,90,0.068,4.382
0min2sec,30,0,0.052,5.133
0min2sec,30,10,0.066,4.380
0min2sec,30,20,0.066,4.478
0min2sec,30,30,0.067,4.474
0min2sec,30,40,0.069,4.543
0min2sec,30,50,0.069,4.504
0min2sec,30,60,0.069,4.455
0min2sec,30,70,0.069,4.427
0min2sec,30,80,0.070,4.386
0min2sec,30,90,0.069,4.380
0min2sec,31,0,0.057,4.975
0min2sec,31,10,0.057,4.536
0min2sec,31,20,0.060,4.380
0min2sec,31,30,0.061,4.288
0min2sec,31,40,0.064,4.402
0min2sec,31,50,0.064,4.373
0min2sec,31,60,0.064,4.427
0min2sec,31,70,0.065,4.441
0min2sec,31,80,0.065,4.454
0min2sec,31,90,0.065,4.462
0min2sec,32,0,0.041,3.341
0min2sec,32,10,0.056,4.451
0min2sec,32,20,0.057,4.432
0min2sec,32,30,0.061,4.474
0min2sec,32,40,0.062,4.508
0min2sec,32,50,0.061,4.434
0min2sec,32,60,0.063,4.442
0min2sec,32,70,0.063,4.441
0min2sec,32,80,0.064,4.450
0min2sec,32,90,0.064,4.468
0min2sec,33,0,0.063,4.183
0min2sec,33,10,0.066,4.449
0min2sec,33,20,0.063,4.356
0min2sec,33,30,0.063,4.285
0min2sec,33,40,0.064,4.367
0min2sec,33,50,0.065,4.424
0min2sec,33,60,0.066,4.427
0min2sec,33,70,0.068,4.441
0min2sec,33,80,0.068,4.378
0min2sec,33,90,0.068,4.325
0min2sec,34,0,0.062,4.213
0min2sec,34,10,0.066,4.450
0min2sec,34,20,0.064,4.443
0min2sec,34,30,0.065,4.235
0min2sec,34,40,0.063,4.183
0min2sec,34,50,0.063,4.230
0min2sec,34,60,0.062,4.273
0min2sec,34,70,0.061,4.242
0min2sec,34,80,0.061,4.248
0min2sec,34,90,0.061,4.255
0min2sec,35,0,0.058,4.056
0min2sec,35,10,0.057,4.264
0min2sec,35,20,0.056,4.248
0min2sec,35,30,0.057,4.252
0min2sec,35,40,0.057,4.252
0min2sec,35,50,0.057,4.205
0min2sec,35,60,0.058,4.236
0min2sec,35,70,0.058,4.220
0min2sec,35,80,0.059,4.236
0min2sec,35,90,0.060,4.240
0min2sec,36,0,0.055,4.699
0min2sec,36,10,0.055,4.199
0min2sec,36,20,0.057,4.192
0min2sec,36,30,0.057,4.244
0min2sec,36,40,0.058,4.321
0min2sec,36,50,0.059,4.358
0min2sec,36,60,0.061,4.319
0min2sec,36,70,0.061,4.276
0min2sec,36,80,0.062,4.275
0min2sec,36,90,0.061,4.286
0min2sec,37,0,0.050,3.768
0min2sec,37,10,0.053,3.887
0min2sec,37,20,0.054,4.202
0min2sec,37,30,0.054,4.178
0min2sec,37,40,0.056,4.228
0min2sec,37,50,0.057,4.262
0min2sec,37,60,0.057,4.255
0min2sec,37,70,0.057,4.293
0min2sec,37,80,0.057,4.257
0min2sec,37,90,0.057,4.236
0min2sec,38,0,0.033,4.252
0min2sec,38,10,0.049,4.132
0min2sec,38,20,0.052,4.246
0min2sec,38,30,0.055,4.370
0min2sec,38,40,0.056,4.428
0min2sec,38,50,0.057,4.420
0min2sec,38,60,0.058,4.373
0min2sec,38,70,0.058,4.387
