time,epoch,batch,loss,cost
0min0sec,0,0,170.224,8.161
0min8sec,0,10,138.310,5.795
0min13sec,0,20,122.128,5.345
0min14sec,0,30,112.000,5.121
0min16sec,0,40,104.544,4.996
0min14sec,0,50,99.212,4.920
0min14sec,0,60,94.973,4.871
0min14sec,0,70,91.060,4.831
0min13sec,0,80,87.655,4.796
0min14sec,0,90,84.208,4.765
0min13sec,0,100,81.265,4.740
0min13sec,0,110,78.548,4.721
0min14sec,0,120,76.280,4.704
0min14sec,0,130,74.321,4.688
0min14sec,0,140,72.521,4.676
0min15sec,0,150,70.869,4.662
0min13sec,0,160,69.438,4.652
0min13sec,0,170,68.152,4.645
0min13sec,0,180,66.981,4.639
0min13sec,0,190,65.869,4.632
0min14sec,0,200,64.855,4.627
0min15sec,0,210,63.910,4.621
0min13sec,0,220,63.023,4.616
0min14sec,0,230,62.226,4.612
0min13sec,0,240,61.490,4.609
